year,species_code,comp_type,iss_length,region
1987,10130,male,1085.342765659569,bs_shelf
1987,10130,total,1766.974006562715,bs_shelf
1987,10210,female,1879.006438856364,bs_shelf
1987,10210,male,996.0980590595452,bs_shelf
1987,10210,total,1880.287473653015,bs_shelf
1987,10285,female,949.6424288930756,bs_shelf
1987,10285,male,1108.6630278722882,bs_shelf
1987,10285,total,1563.4961735581314,bs_shelf
1987,21720,female,1094.3739110939132,bs_shelf
1987,21720,male,1195.511587817624,bs_shelf
1987,21720,total,2103.818516955602,bs_shelf
1987,21740,female,1243.5814998464034,bs_shelf
1987,21740,male,1125.1177271232027,bs_shelf
1987,21740,total,1526.8585492193629,bs_shelf
1988,10110,female,818.3642058874472,bs_shelf
1988,10110,male,545.811997559621,bs_shelf
1988,10110,total,1119.6192203759877,bs_shelf
1988,10112,female,25.509559811120504,bs_shelf
1988,10112,male,22.143477857369668,bs_shelf
1988,10112,total,50.43524816271085,bs_shelf
1988,10115,female,53.16698480075149,bs_shelf
1988,10115,male,50.17663700105842,bs_shelf
1988,10115,total,107.82641137816702,bs_shelf
1988,10130,female,1241.835313278819,bs_shelf
1988,10130,male,1076.4053508631405,bs_shelf
1988,10130,total,1616.023144503468,bs_shelf
1988,10210,female,1494.8668111862482,bs_shelf
1988,10210,male,907.1685965968168,bs_shelf
1988,10210,total,1616.1100148300277,bs_shelf
1988,10285,female,480.286004968512,bs_shelf
1988,10285,male,498.11728115518,bs_shelf
1988,10285,total,672.3728241040501,bs_shelf
1988,21720,female,863.3296008401851,bs_shelf
1988,21720,male,868.9690798294648,bs_shelf
1988,21720,total,1649.731676779793,bs_shelf
1988,21740,female,1699.0734704601423,bs_shelf
1988,21740,male,1222.6788123262206,bs_shelf
1988,21740,total,1981.819685918129,bs_shelf
1989,10110,female,1032.1662534810762,bs_shelf
1989,10110,male,618.7260609493106,bs_shelf
1989,10110,total,1320.1389523235198,bs_shelf
1989,10112,female,49.6899420824664,bs_shelf
1989,10112,male,62.73844344176548,bs_shelf
1989,10112,total,104.50772124933157,bs_shelf
1989,10115,female,51.0568463634958,bs_shelf
1989,10115,male,63.66030658406602,bs_shelf
1989,10115,total,116.5027291751216,bs_shelf
1989,10130,female,1022.7303566456268,bs_shelf
1989,10130,male,549.7597296192811,bs_shelf
1989,10130,total,1004.2055010677792,bs_shelf
1989,10210,female,1963.2768609643108,bs_shelf
1989,10210,male,1232.411759315463,bs_shelf
1989,10210,total,2148.0237622961113,bs_shelf
1989,10285,female,915.3277298225304,bs_shelf
1989,10285,male,978.1445215350548,bs_shelf
1989,10285,total,1483.1313258661523,bs_shelf
1989,21720,female,620.3182180874659,bs_shelf
1989,21720,male,620.3938668944885,bs_shelf
1989,21720,total,1175.778935126499,bs_shelf
1989,21740,female,1274.0236263823217,bs_shelf
1989,21740,male,1402.8292846041506,bs_shelf
1989,21740,total,1765.7485457521234,bs_shelf
1990,10110,female,1116.518858964189,bs_shelf
1990,10110,male,637.8803944145586,bs_shelf
1990,10110,total,1570.6771166140309,bs_shelf
1990,10112,female,95.12740071219793,bs_shelf
1990,10112,male,91.4532159614722,bs_shelf
1990,10112,total,176.6005956112066,bs_shelf
1990,10115,female,69.25790799977855,bs_shelf
1990,10115,male,72.71279752144625,bs_shelf
1990,10115,total,192.57487241201343,bs_shelf
