year,species_code,comp_type,ae,ae_al,al,base,bin,grwth,region
1984,21740,female,48.18795268611182,46.56495565453279,175.63455635759232,211.3114540480796,1cm,Annual,bs
1984,21740,male,60.88157725547108,54.94777147150395,146.9695550500057,177.06216479051437,1cm,Annual,bs
1984,21740,total,67.21969245414266,63.59586638225303,276.4477659275536,325.52159384717794,1cm,Annual,bs
1985,21740,female,92.69766521203088,86.86806217737173,101.48091354140124,112.81916589804894,1cm,Annual,bs
1985,21740,male,100.90967746333315,94.85562830970268,107.59167324736184,122.9889575129192,1cm,Annual,bs
1985,21740,total,80.22430727849469,78.60570861515096,83.39562842514148,85.86738954959614,1cm,Annual,bs
1986,21740,female,115.11340445965112,107.3302900774797,130.46785066178347,148.60737687946295,1cm,Annual,bs
1986,21740,male,114.2371899451091,109.6066679981568,93.11851118385852,108.14264970939756,1cm,Annual,bs
1986,21740,total,179.34549744458275,165.4972622569719,170.00831976544188,195.79307066687343,1cm,Annual,bs
1987,21740,female,53.88106630182573,51.40402597197063,129.28960044977998,148.7377891251809,1cm,Annual,bs
1987,21740,male,51.63757248726229,51.724029702267046,117.6520591638746,130.59300955431434,1cm,Annual,bs
1987,21740,total,63.84349108964808,63.18201125057765,169.88247682533114,186.04277383666084,1cm,Annual,bs
1988,21740,female,64.2446499628906,61.12795079337887,103.20901569146756,120.60271282549633,1cm,Annual,bs
1988,21740,male,70.08630751814854,66.13837864015446,98.80648912920286,114.3864834563508,1cm,Annual,bs
1988,21740,total,92.09158833062608,89.70801533511364,168.8894205779553,190.2912255844485,1cm,Annual,bs
1989,21740,female,43.62703668267146,42.193806646857354,136.90018344229307,165.86665118084946,1cm,Annual,bs
1989,21740,male,45.086076991275384,42.59979552121697,118.44575049844848,144.15119183213267,1cm,Annual,bs
1989,21740,total,56.16505658993617,54.511054148238294,222.37016295434833,262.3966124176659,1cm,Annual,bs
1990,21740,female,30.05385471157242,29.29276149457095,147.67720158154623,180.13269011011997,1cm,Annual,bs
1990,21740,male,39.3018430616968,37.56804807957536,126.86460290322697,154.18500019063515,1cm,Annual,bs
1990,21740,total,50.204184791296555,48.30813136434476,180.9711779392125,216.50920333334523,1cm,Annual,bs
1991,21740,female,43.050216796003355,42.36047249580629,85.64237842645129,96.25110386981494,1cm,Annual,bs
1991,21740,male,50.5979698929162,49.26130175305657,87.68143680871717,97.02582630145602,1cm,Annual,bs
1991,21740,total,86.8886875807536,85.3693006844658,169.01895338150922,182.15420041490032,1cm,Annual,bs
1992,21740,female,80.28911390799175,75.7133089862312,93.67383553694488,104.77431307237212,1cm,Annual,bs
1992,21740,male,88.77586128590036,83.62056945504354,96.79933228214928,107.7709793816371,1cm,Annual,bs
1992,21740,total,100.84864751560704,89.65927112591748,99.94182005942314,116.92614069938251,1cm,Annual,bs
1993,21740,female,84.87280081042155,81.49923788523256,158.94986752573826,175.71625931243122,1cm,Annual,bs
1993,21740,male,101.19607678197028,93.6648146296075,115.34564760202451,132.85817015941743,1cm,Annual,bs
1993,21740,total,91.0503003994726,86.75324684405675,98.33583759461828,104.53714824189314,1cm,Annual,bs
1994,21740,female,89.8691693979146,83.25098890684659,120.8840235487354,148.42167237337162,1cm,Annual,bs
1994,21740,male,51.50320666204761,48.10413869951587,125.13723225900854,156.89261701320916,1cm,Annual,bs
1994,21740,total,90.6801433244022,85.62467602690978,128.6122298062373,145.87118818427774,1cm,Annual,bs
1995,21740,female,126.02170870453928,114.88026779447776,120.49388496384194,138.60839596934204,1cm,Annual,bs
1995,21740,male,103.06199822747782,90.83370824348584,99.53852580482588,114.97543555463228,1cm,Annual,bs
1995,21740,total,109.97136393252724,104.26859695293508,108.78234215030665,115.75743052948016,1cm,Annual,bs
1996,21740,female,140.31063736844868,143.1578318928957,169.39806366914698,198.67067585204975,1cm,Annual,bs
1996,21740,male,156.55329896816767,136.31945524049047,125.00923526029244,150.78261638021596,1cm,Annual,bs
1996,21740,total,281.72906137039445,258.07336383080246,268.99805925586776,312.86070911329216,1cm,Annual,bs
1997,21740,female,65.37649085172893,62.32090896068825,113.42148622612848,133.74050979915958,1cm,Annual,bs
1997,21740,male,58.47768978170279,55.231207624371926,86.75633577265694,99.58815240868684,1cm,Annual,bs
1997,21740,total,86.50715560200229,82.63416687380382,107.66540019449654,116.39104296793512,1cm,Annual,bs
1998,21740,female,51.45582865693787,49.92077368519114,136.68585067634822,168.74849185436747,1cm,Annual,bs
1998,21740,male,44.376971260151024,43.291358171486785,113.76909826658024,136.50168130179495,1cm,Annual,bs
1998,21740,total,66.59342352672789,66.39448548381161,227.2833442720552,263.98049348537205,1cm,Annual,bs
1999,21740,female,50.93505729491096,49.46352511938627,148.05956007889534,180.53523813204512,1cm,Annual,bs
1999,21740,male,119.71397065258093,107.9653164941249,130.27349201954556,151.8350183424693,1cm,Annual,bs
1999,21740,total,102.04391411034368,99.1298128170612,225.55973938182115,253.0775613163917,1cm,Annual,bs
2000,21740,female,50.293804703746666,48.44297648903496,126.06665340133814,145.3300123362918,1cm,Annual,bs
2000,21740,male,82.3635454125518,77.66626968674802,128.7139447457055,150.52895913913764,1cm,Annual,bs
2000,21740,total,89.47054970115215,87.57545812692467,216.48744070372345,237.57342479801457,1cm,Annual,bs
2001,21740,female,124.580369261184,113.6545073474734,176.53565237062855,208.27707045957453,1cm,Annual,bs
2001,21740,male,163.9498504981205,150.2525945195467,164.55041766614406,191.4662702463599,1cm,Annual,bs
2001,21740,total,208.58256140664065,193.85304146818947,256.0300574694925,288.1523164908198,1cm,Annual,bs
2002,21740,female,148.38748162890002,139.6584640948486,179.76006015596488,214.2084305459739,1cm,Annual,bs
2002,21740,male,137.72540754525463,128.3674088547538,135.37984139729102,156.61859917464784,1cm,Annual,bs
2002,21740,total,219.32314421152563,210.29658201648255,286.8925312479465,324.43957948111455,1cm,Annual,bs
2003,21740,female,150.96503863321615,140.52917366848834,144.54898840520963,175.90832206238215,1cm,Annual,bs
2003,21740,male,84.0428788132154,80.04094749451696,105.49017733671305,117.18003935790942,1cm,Annual,bs
2003,21740,total,143.95899539197598,138.63770443243,200.7514481401872,222.60721361001345,1cm,Annual,bs
2004,21740,female,174.83467567784467,152.97368676068228,161.16551167788506,191.53921652714465,1cm,Annual,bs
2004,21740,male,152.3640728187943,134.74535254277637,121.5632748040336,145.36914101301443,1cm,Annual,bs
2004,21740,total,244.3380652044082,223.28337044176868,225.1553689009306,257.33381043315796,1cm,Annual,bs
2005,21740,female,131.00615287236002,114.73371418062874,105.8398193707121,126.47816695228568,1cm,Annual,bs
2005,21740,male,145.17360745398122,129.32917724174814,128.62036686178814,158.53640688693417,1cm,Annual,bs
2005,21740,total,210.21203718750735,190.9141909666109,217.63406821765275,253.28947112735923,1cm,Annual,bs
2006,21740,female,264.8817225111262,240.24011012838176,186.4606104224294,220.41990679361388,1cm,Annual,bs
2006,21740,male,230.66897033167177,214.56056225402023,171.66029353746052,208.23329679136145,1cm,Annual,bs
2006,21740,total,402.0719054263271,383.3332024314925,323.31740301333843,363.979234625656,1cm,Annual,bs
2007,21740,female,130.68236970816747,119.8734041045138,100.79331090821708,126.62818125168852,1cm,Annual,bs
2007,21740,male,184.9561429895394,163.73780833070418,125.1933481020831,156.12420800303065,1cm,Annual,bs
2007,21740,total,223.76530930710243,212.83543039888863,187.71334708894148,211.83219727758927,1cm,Annual,bs
2008,21740,female,170.6793070283562,157.05311801918518,135.99746591078198,161.49133054249418,1cm,Annual,bs
2008,21740,male,196.3324342890285,180.59019673851208,145.47728359591463,176.62773367591126,1cm,Annual,bs
2008,21740,total,295.73011701291773,281.5479181911817,258.17397698831815,290.8954344534874,1cm,Annual,bs
2009,21740,female,119.46701785112003,104.71229095528584,89.92558120764014,110.09606654175818,1cm,Annual,bs
2009,21740,male,112.994314068719,96.59687271111262,94.37784731647308,117.9472751877906,1cm,Annual,bs
2009,21740,total,198.80542748947173,179.22691070681262,165.84541996074373,195.0080837942281,1cm,Annual,bs
2010,21740,female,96.51115910827647,86.29678241190217,141.08417391948555,170.1087826399874,1cm,Annual,bs
2010,21740,male,98.86223572431092,92.67551680639582,145.77461988109383,163.8013902655438,1cm,Annual,bs
2010,21740,total,133.6106102927031,124.41701097918916,222.38151736383213,245.07944090153313,1cm,Annual,bs
2011,21740,female,152.28819949810932,144.59177016607052,201.1925562137453,242.925068682463,1cm,Annual,bs
2011,21740,male,101.83063015525126,98.982066667356,192.24637013352813,238.95342314491555,1cm,Annual,bs
2011,21740,total,187.44669664497715,184.20135421660257,294.1338785484886,334.1647614330726,1cm,Annual,bs
2012,21740,female,94.5601455793711,89.81580208021691,202.9771917341646,242.85442943530373,1cm,Annual,bs
2012,21740,male,85.48569056222424,84.78691366691447,193.1900947772219,234.63821835822824,1cm,Annual,bs
2012,21740,total,127.77811255609328,127.29568308433564,314.37184271521306,348.15700384655605,1cm,Annual,bs
2013,21740,female,45.949049835751765,44.275898138822456,209.83215783876344,252.80994608025503,1cm,Annual,bs
2013,21740,male,45.04384297543235,42.7892981639085,207.64398546733375,249.9495017725959,1cm,Annual,bs
2013,21740,total,65.52586036689429,63.38053710358239,383.0647533499082,434.554302983539,1cm,Annual,bs
2014,21740,female,84.06430893892724,84.40134784282094,223.1798299152593,269.5817338883592,1cm,Annual,bs
2014,21740,male,85.03389545821949,86.25861026569147,203.9955788294904,239.3984185236849,1cm,Annual,bs
2014,21740,total,119.70775993531214,121.81947175907275,334.72105445548493,373.2061830011786,1cm,Annual,bs
