year,species_code,comp_type,ae,ae_al,al,base,region
2021,21720,male,55.47640279898049,31.638904272307723,36.72352193738596,108.73743381190413,goa
2021,21720,total,90.5775805049401,41.30428029663181,44.329263432445096,165.7809449640104,goa
1990,21740,female,84.35646957905452,76.73909936508439,86.33039227576661,100.00917506457212,goa
1990,21740,male,67.26662665058832,47.06581059948802,49.448771932510944,76.27425972126038,goa
1990,21740,total,88.87999208759092,67.87487387472059,74.75674272735326,104.10722594565073,goa
1993,21740,female,103.22614141579204,97.1068683971371,159.2721576662085,180.1990574486204,goa
1993,21740,male,119.1120130530654,95.22529257991135,88.27976626188848,131.04400344302528,goa
1993,21740,total,127.47196433092296,118.28427767770292,150.61600934365404,182.01855400816993,goa
1996,21740,female,79.51126168329222,59.147200519761654,64.30575644022777,80.98269825172407,goa
1996,21740,male,51.8246591193143,30.27502950014812,33.583659588374175,53.40270161217552,goa
1996,21740,total,40.61321913397602,26.610142992710976,27.81243049306067,39.405253470619584,goa
1999,21740,female,99.54305939618774,87.7593296028426,100.82362632205974,114.1537317952166,goa
1999,21740,male,55.88424465355014,31.96726151056654,33.412150841532466,61.26900454048885,goa
1999,21740,total,87.33409469229706,60.29363726393867,65.18693112190952,97.19356784505024,goa
2001,21740,female,38.32833626429387,26.570298130432036,25.35720452298938,36.433246838700526,goa
2001,21740,male,28.70002517751829,22.34023577655877,21.169922173300748,26.92852560557132,goa
2001,21740,total,36.081315119198486,30.381042146401875,28.304009804499444,33.73025201096775,goa
2003,21740,female,162.70976949382904,147.79137623879845,140.58367558087136,158.22426804420078,goa
2003,21740,male,146.0884763736682,102.09771288763513,90.78693321625212,141.64071337997294,goa
2003,21740,total,185.23571143506288,156.5422500685085,141.72056275269702,181.59575180608903,goa
2005,21740,female,201.07426516114236,187.169397472114,179.60153557279116,187.7660899572454,goa
2005,21740,male,170.61071974649292,86.66577991365315,75.58892404176996,149.6101795156455,goa
2005,21740,total,81.59511208778387,89.82093601898188,85.46342816739437,80.29921772319189,goa
2007,21740,female,79.60990208662979,64.65131556611233,60.7320032522955,79.0277312435975,goa
2007,21740,male,79.33913303895838,50.9729892250859,48.857176351238834,77.31167634274705,goa
2007,21740,total,90.46462056121996,68.94016715334547,65.64052517750008,87.8771003391184,goa
2009,21740,female,100.18895663275124,76.90358309849334,68.53558803551418,100.09966478584472,goa
2009,21740,male,87.95020219299298,77.25558730910008,75.16670723887711,86.38868084254518,goa
2009,21740,total,78.4233250173031,64.60886873247357,61.45471669392192,76.16667362447734,goa
2011,21740,female,117.27343216702906,76.49978035484148,64.90125481027108,114.5710797649969,goa
2011,21740,male,95.54969585355218,87.8461523985,79.37431327199197,92.2705734258952,goa
2011,21740,total,121.21218699444672,94.66290026129457,83.414368759236993,118.98162133911632,goa
2013,21740,female,69.06644038556631,61.4565572578477,53.45858570764063,67.41050110049494,goa
2013,21740,male,68.49089010235457,68.33558317537491,62.332056172978795,65.75520104679377,goa
2013,21740,total,73.87458512122855,69.8723529130179,62.15998675746378,71.64114845545149,goa
2015,21740,female,93.3018189182381,70.7451591215744,84.6869881960064,102.73804733102652,goa
2015,21740,male,73.6012168747639,53.16742674102196,71.61091893437163,85.11626350193502,goa
2015,21740,total,94.23591822007532,68.33073908326881,90.65749382668147,108.77861010892843,goa
2017,21740,female,11.516129123199129,13.069201023248016,14.005496101282914,11.321417279144685,goa
2017,21740,male,14.443089776709762,16.44838588581834,15.48427088468899,13.61113552332982,goa
2017,21740,total,14.248540380373877,16.62439643406784,17.301676314432225,14.012892078812934,goa
2019,21740,female,29.856261441747975,26.61878364704421,86.49197770860903,97.22022284264972,goa
2019,21740,male,43.65154717410293,21.978464270180304,32.354357179286914,79.91518367417036,goa
2019,21740,total,37.38938365945057,28.560078434661246,57.02006954463133,76.33725629189551,goa
2021,21740,female,84.1750274877172,68.05153944380162,65.18780105572083,90.1615787108551,goa
2021,21740,male,77.71930782424903,55.82619316163134,51.244524007560614,78.341436452882,goa
2021,21740,total,87.13812515705605,67.64159979606673,64.0198796592146,91.00110565844368,goa
1991,30060,female,41.10280292531672,36.76213727377024,46.4035992756795,57.46106653188968,ai
1991,30060,male,63.96175433794696,62.66462584184741,60.79939983452229,65.54594972473063,ai
